,ARI,Coleman-Liau,DaleChallIndex,FleschReadingEase,GunningFogIndex,Kincaid,LIX,RIX,SMOGIndex,article,auxverb,characters,characters_per_word,complex_words,complex_words_dc,conjunction,interrogative,long_words,nominalization,paragraphs,preposition,pronoun,sentences,sentences_per_paragraph,subordination,syll_per_word,syllables,tobeverb,type_token_ratio,words,words_per_sentence,wordtypes
../autoCleanTxt/46_cancer_immunotherapy2.txt,12.677626591649393,11.516759747557003,11.725992987859046,56.101645543381736,14.663808113710395,10.980991412496298,48.79307077287534,5.909090909090909,12.797958971132712,12,10,5982,4.871335504885994,176,543,2,0,325,21,1,7,7,55,55.0,1,1.513843648208469,1859,43,0.42996742671009774,1228,22.327272727272728,528
../autoCleanTxt/47_cancer_immunotherapy2.txt,11.541896738029315,10.337622703248467,11.307873701627608,63.236134345242135,13.643013439589385,9.880682616330116,45.52105423110691,5.173076923076923,11.955015784034536,8,5,5325,4.675153643546971,139,475,0,0,269,19,1,7,8,52,52.0,2,1.4345917471466199,1634,25,0.4302019315188762,1139,21.903846153846153,490
../autoCleanTxt/48_cancer_immunotherapy2.txt,10.83589743589743,11.213851717948721,11.65026841025641,63.645738461538485,13.043555555555555,9.03259487179487,45.21572649572649,4.96,11.831760866327848,2,2,2276,4.863247863247863,65,210,1,1,124,3,1,5,6,25,25.0,1,1.4679487179487178,687,11,0.4829059829059829,468,18.72,226
../autoCleanTxt/49_cancer_immunotherapy2.txt,8.516022614724331,10.569705932403437,12.445992413337736,64.01987355562892,10.79976229778805,7.8919141630901315,39.55305381313965,3.6153846153846154,10.379806126283974,4,6,4507,4.835836909871245,118,478,0,1,235,16,1,0,17,65,65.0,1,1.5160944206008584,1413,43,0.3669527896995708,932,14.338461538461539,342
../autoCleanTxt/50_cancer_immunotherapy2.txt,21.803833333333337,18.45939349444445,14.686222222222222,13.295000000000009,19.555555555555557,18.85777777777778,66.11111111111111,10.833333333333334,16.038404810405297,0,0,1079,5.9944444444444445,34,109,0,0,65,9,1,1,1,6,6.0,0,1.9277777777777778,347,2,0.4666666666666667,180,30.0,84
../autoCleanTxt/53_cancer_immunotherapy2.txt,14.720706521739132,13.686143135869568,12.6723,43.2563043478261,15.504347826086956,12.939782608695655,51.26086956521739,6.5,13.428326807307105,2,1,963,5.233695652173913,29,92,0,1,52,1,1,0,1,8,8.0,0,1.6576086956521738,305,6,0.6358695652173914,184,23.0,117
../autoCleanTxt/55_cancer_immunotherapy2.txt,14.225966836734692,13.086277648979593,12.423695578231293,49.542943239795946,14.575255102040817,12.055159438775508,50.17963435374149,6.25,12.633924433998846,3,14,3772,5.131972789115646,99,356,5,1,200,7,1,4,4,32,32.0,0,1.583673469387755,1164,20,0.46802721088435373,735,22.96875,344
../autoCleanTxt/56_cancer_immunotherapy2.txt,14.325069860279442,13.607611107784432,14.05419013972056,48.215770459081874,14.655169660678645,12.065856287425152,50.70978043912176,6.333333333333333,12.797958971132712,2,4,1746,5.227544910179641,48,197,0,1,95,2,1,2,2,15,15.0,0,1.6077844311377245,537,0,0.5568862275449101,334,22.266666666666666,186
../autoCleanTxt/57_cancer_immunotherapy2.txt,12.212635416666664,11.494940409375005,10.369164583333333,58.81041666666669,13.283333333333331,10.35625,45.08333333333333,5.066666666666666,11.717797887081348,0,12,1561,4.878125,38,115,0,1,76,4,1,1,5,15,15.0,1,1.49375,478,15,0.571875,320,21.333333333333332,183
../autoCleanTxt/58_cancer_immunotherapy2.txt,13.703030303030303,12.699207818181822,12.153065656565659,48.637500000000024,16.03030303030303,12.065000000000001,51.48989898989899,6.5227272727272725,13.892032116935923,8,14,5020,5.070707070707071,174,464,4,0,287,12,1,6,4,44,44.0,0,1.6,1584,43,0.48787878787878786,990,22.5,483
../autoCleanTxt/59_cancer_immunotherapy2.txt,13.3367650273224,13.45425646885246,12.928312021857925,45.289125683060135,12.985792349726777,11.993770491803279,48.202185792349724,5.666666666666667,11.602325267042627,2,1,1593,5.222950819672131,37,160,0,0,85,2,1,0,1,15,15.0,0,1.6655737704918032,508,9,0.5016393442622951,305,20.333333333333332,153
../autoCleanTxt/61_cancer_immunotherapy2.txt,14.242039408866994,14.37335406436782,12.90376765188834,34.89137931034484,16.28571428571429,13.538686371100166,51.51888341543514,6.380952380952381,14.148350294358098,2,12,2338,5.374712643678161,87,227,0,0,134,9,1,0,5,21,21.0,0,1.7839080459770116,776,15,0.47586206896551725,435,20.714285714285715,207
../autoCleanTxt/62_cancer_immunotherapy2.txt,12.440313795145052,13.191568072824161,12.86899629366489,51.34491503848433,14.682510361160451,10.759905861456485,47.89632918886915,5.466666666666667,13.04987562112089,0,8,2927,5.198934280639431,101,296,1,0,164,12,1,3,3,30,30.0,1,1.6127886323268206,908,24,0.4493783303730018,563,18.766666666666666,253
../autoCleanTxt/65_cancer_immunotherapy2.txt,12.895205811138013,12.493284372881359,12.22872760290557,48.366822033898316,12.631961259079905,11.747857142857146,48.19007263922518,5.714285714285714,11.150372471769092,1,1,1490,5.0508474576271185,31,141,0,0,80,7,1,2,4,14,14.0,1,1.6203389830508474,478,8,0.5491525423728814,295,21.071428571428573,162
../autoCleanTxt/66_cancer_immunotherapy2.txt,13.354511434511437,13.702524088803095,13.281750252450252,73.92195723195725,13.374636174636175,7.8981467181467195,51.58330858330858,6.3076923076923075,11.98717034272917,1,4,1365,5.27027027027027,35,142,0,1,82,2,1,3,4,13,13.0,0,1.332046332046332,345,12,0.6177606177606177,259,19.923076923076923,160
../autoCleanTxt/70_cancer_immunotherapy2.txt,22.195323596071525,17.2737364598338,14.230902316796778,27.05640141022414,20.218685469655,17.638453789977337,70.21430370183833,12.272727272727273,16.211565181516328,0,4,2086,5.778393351800554,64,205,0,0,135,5,1,0,5,11,11.0,0,1.7313019390581716,625,6,0.5706371191135734,361,32.81818181818182,206
../autoCleanTxt/71_cancer_immunotherapy2.txt,12.954739583333335,13.598866105902776,11.853316527777778,42.968875,14.902222222222221,12.035847222222223,50.27638888888889,5.966666666666667,13.198039027185569,0,18,3031,5.262152777777778,104,265,0,3,179,17,1,3,6,30,30.0,3,1.7065972222222223,983,12,0.4670138888888889,576,19.2,269
../autoCleanTxt/72_cancer_immunotherapy2.txt,12.065368489742646,10.646217625841189,11.096878702230924,62.26287491333253,13.905118479546474,10.168298054569927,47.01044088258085,5.515151515151516,12.095453409658736,6,22,7016,4.721399730820996,182,597,1,1,364,15,1,3,10,66,66.0,2,1.4387617765814267,2138,37,0.3977119784656797,1486,22.515151515151516,591
../autoCleanTxt/75_cancer_immunotherapy2.txt,11.489184568062669,10.656034452871076,11.608818424428089,62.2937829541351,13.276088716205278,9.841835469047705,44.45782742431601,4.931034482758621,11.729656153121047,10,32,8744,4.736728060671723,221,809,0,2,429,16,1,3,14,87,87.0,2,1.4539544962080173,2684,98,0.2627302275189599,1846,21.2183908045977,485
../autoCleanTxt/76_cancer_immunotherapy2.txt,24.592750000000002,15.945690775000006,13.252333333333334,20.30000000000001,21.0,20.365000000000006,70.83333333333333,12.333333333333334,15.24744871391589,0,0,663,5.525,15,58,0,0,37,1,1,0,0,3,3.0,0,1.725,207,2,0.7083333333333334,120,40.0,85
../autoCleanTxt/84_cancer_immunotherapy2.txt,16.130800492610838,18.96007195689655,14.123011822660098,9.146034482758658,18.69753694581281,16.100443349753693,61.399014778325125,7.428571428571429,15.24744871391589,0,2,721,6.2155172413793105,35,71,0,0,52,1,1,1,2,7,7.0,0,2.1379310344827585,248,5,0.7327586206896551,116,16.571428571428573,85
../autoCleanTxt/85_cancer_immunotherapy2.txt,8.486642696925713,9.882734840348334,11.105034160179443,63.73405610898537,11.662765536350443,8.259861129436601,39.60684127193561,3.75,10.962982538539872,1,12,3231,4.689404934687953,93,292,0,8,165,16,1,3,8,44,44.0,4,1.5036284470246735,1036,31,0.35413642960812775,689,15.659090909090908,244
